Date,Open,High,Low,Close,Adj Close,Volume
2023-05-05,2032.650024,2034.949951,2020.280029,2028.209961,2028.209961,321200
2023-05-08,2032.109985,2036.819946,2016.390015,2032.839966,2032.839966,342800
2023-05-09,2040.079956,2046.959961,2030.910034,2032.660034,2032.660034,137300
2023-05-10,2038.989990,2057.929932,2036.640015,2054.840088,2054.840088,199800
2023-05-11,2055.320068,2066.110107,2051.780029,2058.500000,2058.500000,216200
2023-05-12,2054.280029,2067.060059,2040.380005,2045.630005,2045.630005,218500
2023-05-15,2048.000000,2049.989990,2035.589966,2047.119995,2047.119995,181800
2023-05-16,2046.729980,2060.790039,2040.569946,2050.219971,2050.219971,228500
2023-05-17,2052.639893,2070.040039,2026.719971,2062.010010,2062.010010,263900
2023-05-18,2060.800049,2096.300049,2057.000000,2095.870117,2095.870117,305600
2023-05-19,2093.399902,2110.000000,2093.399902,2106.219971,2106.219971,285900
2023-05-22,2111.000000,2139.879883,2098.000000,2101.939941,2101.939941,312100
2023-05-23,2093.000000,2107.040039,2040.939941,2047.010010,2047.010010,352100
2023-05-24,2044.810059,2064.000000,2041.000000,2053.070068,2053.070068,215900
2023-05-25,2069.719971,2087.209961,2055.370117,2057.899902,2057.899902,248300
2023-05-26,2057.000000,2079.310059,2057.000000,2071.020020,2071.020020,269400
2023-05-30,2072.320068,2097.639893,2064.659912,2071.280029,2071.280029,334900
2023-05-31,2070.000000,2077.780029,2059.189941,2076.489990,2076.489990,580200
2023-06-01,2058.129883,2087.939941,2058.129883,2082.330078,2082.330078,187500
2023-06-02,2072.469971,2091.860107,2060.600098,2062.229980,2062.229980,245400
2023-06-05,2058.629883,2077.050049,2057.000000,2074.379883,2074.379883,233100
2023-06-06,2079.270020,2079.270020,2056.010010,2058.120117,2058.120117,177600
2023-06-07,2059.000000,2072.800049,2014.160034,2022.900024,2022.900024,305500
2023-06-08,2014.260010,2040.819946,2014.260010,2023.229980,2023.229980,194400
2023-06-09,2023.000000,2043.000000,2023.000000,2040.550049,2040.550049,178800
2023-06-12,2049.429932,2066.330078,2033.219971,2063.669922,2063.669922,228700
